Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1810.0915420847396
FDW14,OUT017,1620.0283222250673
NCN55,OUT010,1884.3664350486197
FDQ58,OUT017,2623.6361911840595
FDY38,OUT027,5193.317298766916
FDH56,OUT046,1974.3965766429037
FDL48,OUT018,595.0003284122326
FDC48,OUT027,2775.749536499088
FDN33,OUT045,1536.8936640153902
FDA36,OUT017,3121.090883008591
FDT44,OUT017,2049.912020134796
FDQ56,OUT045,1352.389158039075
NCC54,OUT019,1847.9729861476608
FDU11,OUT049,2032.0422961943004
DRL59,OUT013,890.1903275419422
FDM24,OUT049,2517.6428234096657
FDI57,OUT045,3126.4383455866237
DRC12,OUT018,2760.4702602233883
NCM42,OUT027,3195.273674442499
FDA46,OUT010,1141.893395564282
FDA31,OUT013,2813.4294174203305
NCJ31,OUT035,3799.983359685185
FDG52,OUT046,840.0894955868166
NCL19,OUT019,349.6179473118832
FDS10,OUT035,2930.8238697927018
FDX22,OUT010,1458.013613213161
NCF19,OUT035,836.1426256945447
NCE06,OUT046,2579.5952998968214
DRC27,OUT046,3905.6382504954317
FDE21,OUT035,1948.262505380767
NCR42,OUT019,1373.3950660630721
FDX51,OUT018,2873.4161083017143
NCR06,OUT018,425.6905843158329
FDU31,OUT027,4954.788159278304
FDU59,OUT017,2765.2093312269744
FDR03,OUT027,4761.119749598197
FDS49,OUT027,2752.877126567322
FDD48,OUT010,70.05498895581331
NCF18,OUT017,3163.6088418651116
NCD43,OUT027,3099.7259553498834
NCD54,OUT018,1992.3369018218036
FDY19,OUT010,18.873507950693693
NCY54,OUT017,2863.1473803880963
NCL19,OUT018,2017.6418257309324
FDP23,OUT010,1547.3436322350099
FDC26,OUT013,1819.356980130502
FDR14,OUT010,1007.5383565766531
NCS41,OUT035,2943.0875431324594
FDF41,OUT035,3961.1620315644277
FDU34,OUT046,2038.8000852903197
DRH11,OUT046,969.6497391130297
FDM03,OUT013,1748.2612978423404
FDS31,OUT017,3076.8537524294625
FDJ20,OUT017,2153.1344095426093
FDV44,OUT027,4500.275335198677
FDG02,OUT049,3068.626793725927
FDA09,OUT013,2905.2231724324565
FDT04,OUT013,674.9425716606579
FDL58,OUT019,2274.9322387982165
FDE52,OUT045,1481.502627864421
FDW12,OUT035,2412.7718902829783
FDL51,OUT017,3604.6020928945018
NCY42,OUT027,3690.252512200779
FDR07,OUT017,1719.7778738085321
FDN40,OUT045,2389.468745223752
FDB35,OUT027,2952.057461472781
FDA22,OUT017,2778.097912384964
NCL06,OUT046,4157.367352717429
FDI35,OUT013,2910.2582872482226
NCW42,OUT045,3444.1359799645024
NCX06,OUT049,2908.7725376558546
FDC37,OUT027,3194.7591648149864
FDZ14,OUT018,1739.5150294866248
DRG49,OUT049,3922.341086717788
NCG06,OUT045,3988.2310637526007
DRC36,OUT045,2751.384090350173
FDV21,OUT019,49.2191186813734
FDB53,OUT046,2395.6969013407224
DRP47,OUT019,2030.6412217186644
FDA14,OUT013,2358.0258571500763
DRC24,OUT035,2483.250686832117
FDW21,OUT018,1395.53593661881
NCH29,OUT046,1594.5519724383807
