Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1647.8616579999982
FDW14,OUT017,1471.2182599999994
NCN55,OUT010,811.2573259999997
FDQ58,OUT017,2328.355864000001
FDY38,OUT027,6605.308587999994
FDH56,OUT046,2009.524218000001
FDL48,OUT018,627.2701540000002
FDC48,OUT027,1976.014504000001
FDN33,OUT045,1117.5852480000003
FDA36,OUT017,2314.074454
FDT44,OUT017,1681.4179780000006
FDQ56,OUT045,1728.0905580000008
NCC54,OUT019,710.4618639999999
FDU11,OUT049,1760.9011819999982
DRL59,OUT013,837.9825380000005
FDM24,OUT049,2072.4822659999995
FDI57,OUT045,3721.542364
DRC12,OUT018,2986.1462899999988
NCM42,OUT027,2829.2571780000003
FDA46,OUT010,439.1084160000001
FDA31,OUT013,2708.2147380000015
NCJ31,OUT035,3409.4219819999985
FDG52,OUT046,711.2475079999999
NCL19,OUT019,421.30492399999974
FDS10,OUT035,2954.5074739999995
FDX22,OUT010,501.37403200000017
NCF19,OUT035,679.5221379999998
NCE06,OUT046,2021.2689299999997
DRC27,OUT046,4308.065558000001
FDE21,OUT035,1836.7358020000008
NCR42,OUT019,58.896668000000005
FDX51,OUT018,2346.4523080000004
NCR06,OUT018,358.8129360000002
FDU31,OUT027,5449.213467999998
FDU59,OUT017,2213.638523999999
FDR03,OUT027,5709.647796000002
FDS49,OUT027,2453.5062899999984
FDD48,OUT010,279.4762080000001
NCF18,OUT017,3672.020160000002
NCD43,OUT027,2706.9164280000005
NCD54,OUT018,1899.72714
FDY19,OUT010,235.79307000000006
NCY54,OUT017,2228.8187640000015
NCL19,OUT018,2136.0262180000004
FDP23,OUT010,426.47818999999987
FDC26,OUT013,1687.9761079999985
FDR14,OUT010,161.47647399999988
NCS41,OUT035,3148.4483560000003
FDF41,OUT035,4022.8301800000004
FDU34,OUT046,2424.430804000001
DRH11,OUT046,959.3112719999999
FDM03,OUT013,1807.4339439999999
FDS31,OUT017,3364.0943180000004
FDJ20,OUT017,1889.9199060000008
FDV44,OUT027,4669.98778
FDG02,OUT049,2638.0593919999983
FDA09,OUT013,4047.4381480000006
FDT04,OUT013,556.6154579999998
FDL58,OUT019,573.6266479999996
FDE52,OUT045,1423.1142100000004
FDW12,OUT035,2729.5203380000003
FDL51,OUT017,3785.146237999995
NCY42,OUT027,2627.766123999999
FDR07,OUT017,1517.571256
FDN40,OUT045,2074.972358
FDB35,OUT027,2486.1770959999994
FDA22,OUT017,2242.8205380000004
NCL06,OUT046,5065.526244000001
FDI35,OUT013,4106.261577999999
NCW42,OUT045,4060.867334000001
NCX06,OUT049,3326.350115999998
FDC37,OUT027,2534.5408080000007
FDZ14,OUT018,1691.6113759999994
DRG49,OUT049,5193.919116000001
NCG06,OUT045,3934.072381999998
DRC36,OUT045,2677.428146000002
FDV21,OUT019,578.2872480000002
FDB53,OUT046,3298.346568
DRP47,OUT019,519.0310480000004
FDA14,OUT013,2177.5721379999995
DRC24,OUT035,2595.6079840000007
FDW21,OUT018,1452.3095400000007
NCH29,OUT046,1927.111494
FDU58,OUT013,3757.2891659999964
FDY27,OUT017,2477.3485880000003
FDV56,OUT035,1549.8758720000003
FDT59,OUT046,4675.307522000005
FDB23,OUT046,3923.306396000004
FDR49,OUT045,750.2234400000002
FDB03,OUT010,684.0495779999998
FDN39,OUT045,2384.9288900000006
FDX02,OUT027,5543.577301999994
FDQ16,OUT027,2335.0205219999993
FDU35,OUT018,1484.1414379999999
NCT29,OUT013,1690.3064079999988
FDZ27,OUT046,625.1928579999998
FDN57,OUT017,2169.2762699999985
FDA03,OUT018,2338.256310000001
FDZ36,OUT045,3268.7451
NCU05,OUT013,1343.3646859999997
FDT39,OUT018,2457.3812460000013
FDK60,OUT017,1708.1897960000001
FDZ25,OUT017,3262.6397140000004
FDG12,OUT046,2616.3676279999972
DRB01,OUT019,526.8142500000001
NCC43,OUT027,5752.452078000001
FDX13,OUT019,492.4057060000004
FDM22,OUT049,833.5083620000001
FDJ03,OUT027,1500.58004
FDU14,OUT018,3503.159963999999
FDB33,OUT010,461.06650000000013
FDP27,OUT046,3365.778791999998
FDO38,OUT010,157.002298
FDE28,OUT027,6634.144385999996
FDO27,OUT035,1689.8869540000003
DRL23,OUT027,2461.6223919999993
FDS28,OUT046,974.7711479999999
FDX24,OUT013,1344.6696539999994
FDZ02,OUT035,1251.5575239999998
FDL46,OUT045,1595.4565400000006
FDS60,OUT027,4483.5837539999975
NCO06,OUT017,526.854198
FDO16,OUT035,1800.9623680000002
FDC60,OUT049,1990.1161480000012
FDA48,OUT018,3312.974194000001
FDZ36,OUT027,5069.441148000002
FDK27,OUT045,1793.7184639999991
FDW23,OUT018,391.81664200000006
FDM14,OUT018,1347.918758000001
FDM14,OUT013,1608.8191460000014
FDW60,OUT018,2880.6036740000004
FDE21,OUT013,1834.884878000001
NCM42,OUT035,1635.497752000001
FDY59,OUT010,211.0918900000001
DRI49,OUT049,1460.8983600000001
FDT28,OUT019,239.15535999999992
FDQ22,OUT018,322.06743399999993
FDR60,OUT049,1191.2027539999992
FDC50,OUT019,242.0515899999999
FDV24,OUT013,2060.7042639999986
DRF48,OUT010,619.8664579999997
FDQ47,OUT046,684.9217760000004
DRN36,OUT049,1219.0265360000003
NCY06,OUT035,2094.2272939999993
FDE52,OUT035,1568.1454240000007
NCB54,OUT045,1624.871583999999
NCF31,OUT035,1991.2080600000024
FDJ08,OUT027,5112.039032
NCC07,OUT017,1521.0667059999992
NCD19,OUT027,1537.545256000001
FDL46,OUT049,1835.9901060000007
FDM20,OUT045,4734.297402
NCI06,OUT010,407.32978200000014
DRM11,OUT035,5127.465618000001
NCH07,OUT018,2130.9794539999994
FDS23,OUT013,2199.397062000002
FDO49,OUT018,685.1015420000003
FDS35,OUT049,966.5551760000005
DRK39,OUT045,1473.5951659999998
DRI39,OUT049,892.8977220000005
FDV04,OUT017,1673.794567999999
NCN14,OUT035,2873.812513999997
FDH08,OUT013,3664.163720000001
FDS20,OUT046,3846.2799939999995
FDV40,OUT049,887.4980840000001
FDZ48,OUT010,221.69142600000015
FDS24,OUT027,2631.887426
FDK44,OUT049,1896.0119760000007
FDS48,OUT045,2266.6428620000006
FDK26,OUT010,856.4851199999991
FDD23,OUT045,3225.1418579999986
NCH54,OUT017,2976.8117739999993
NCP14,OUT010,237.01814199999998
FDM60,OUT010,68.5774
FDV24,OUT017,2371.7926559999996
FDH08,OUT018,3455.595212
FDS12,OUT027,3854.143091999999
FDR39,OUT027,4369.552187999999
FDP12,OUT027,901.5065160000007
DRF60,OUT027,5231.463578000002
FDC09,OUT035,1739.0829160000008
FDF50,OUT018,3014.3961839999997
FDG28,OUT035,3708.5459479999986
NCE19,OUT017,878.6429439999997
NCM53,OUT010,256.96550999999994
NCN18,OUT049,1660.198931999999
FDF32,OUT035,3100.1445660000004
FDF11,OUT013,3496.155748000001
DRI59,OUT049,3863.990274
NCG54,OUT035,2704.792526
FDM44,OUT046,1537.6251520000003
FDT57,OUT018,2578.676689999999
FDV24,OUT046,2006.4615379999987
FDI50,OUT019,507.8922140000005
FDS09,OUT035,884.4354040000013
NCC31,OUT027,3542.1159219999977
FDQ07,OUT019,827.9755639999998
FDC22,OUT017,3487.773325999999
FDZ56,OUT046,3260.7088939999994
FDZ40,OUT019,212.98942
FDS46,OUT027,2215.642581999999
DRD24,OUT045,1973.1515639999986
FDV45,OUT017,3256.021661999999
FDL26,OUT045,3399.761223999999
FDA56,OUT018,1508.1834759999995
FDN27,OUT046,1635.331302
FDM20,OUT049,4845.086522000001
FDO16,OUT017,2019.5911140000014
FDL03,OUT035,3105.990289999998
FDE58,OUT046,2077.0829440000007
FDI02,OUT027,3528.3205460000004
NCC55,OUT019,66.64658000000001
FDR03,OUT018,3571.857208
FDB14,OUT017,1520.3742739999993
FDR45,OUT013,5366.061706000004
NCN07,OUT017,1827.381312000001
FDM51,OUT019,251.77892800000012
FDT52,OUT027,6317.609749999998
FDL26,OUT046,3242.392735999999
NCZ42,OUT046,4435.386492000002
DRI47,OUT019,451.9516979999999
FDW40,OUT013,2219.8903859999987
FDN34,OUT046,3051.2681880000014
FDS01,OUT035,3108.307274
NCG55,OUT045,2074.273267999999
FDC11,OUT035,1232.7819640000007
FDX35,OUT018,2863.5858259999977
NCB06,OUT046,2001.8209120000008
FDR09,OUT019,570.1644880000003
FDC53,OUT017,1458.26845
FDY45,OUT013,4118.179398000002
FDA22,OUT010,377.96800199999984
FDE02,OUT035,1650.045482
FDW21,OUT045,1717.5842339999997
FDV34,OUT046,1282.8834140000006
FDS59,OUT049,2241.961655999998
NCW17,OUT017,2864.4180759999995
NCK54,OUT046,2171.2137479999997
FDG17,OUT019,354.31212800000014
FDG35,OUT017,3303.6862840000026
FDD08,OUT010,73.50432000000002
NCO07,OUT017,3914.810788000001
FDJ10,OUT010,332.03446000000025
FDW36,OUT017,1543.164608
FDW21,OUT010,196.0847580000001
FDY19,OUT017,1927.0049660000004
DRE03,OUT013,688.1575639999996
NCC55,OUT049,859.9006739999999
FDH52,OUT010,120.25679600000014
FDO09,OUT017,4703.257806000003
FDU43,OUT045,3660.7481660000008
FDX09,OUT010,312.2934900000002
FDH40,OUT019,282.02622199999985
FDW58,OUT017,1836.3962439999998
FDC47,OUT017,4983.486368000001
NCR41,OUT035,1320.2148199999992
DRG49,OUT035,4810.53816
FDC52,OUT027,4137.081460000002
FDY13,OUT046,1333.3710280000003
FDY35,OUT013,814.0536859999992
FDI35,OUT017,4169.599131999999
NCU18,OUT049,2065.7643439999993
FDY33,OUT018,2529.980078
FDC15,OUT027,3712.3476660000015
FDU01,OUT049,3578.954635999999
NCU42,OUT046,3894.577125999999
NCV29,OUT018,2362.2184520000014
NCY30,OUT017,2816.760111999998
FDQ46,OUT049,1734.994903999999
FDG58,OUT027,3548.2878880000026
FDK33,OUT017,4297.818896
NCD07,OUT045,1340.7880399999995
NCX29,OUT027,3621.572493999999
NCT42,OUT013,2200.6421080000014
DRN59,OUT035,644.4611099999998
FDI44,OUT035,1256.8240019999998
FDA45,OUT049,1670.618702
FDP31,OUT045,769.8445660000001
FDY01,OUT046,1775.495518
FDT09,OUT018,2057.3086839999996
DRH03,OUT027,2410.9683279999986
FDA36,OUT018,1932.9705340000003
NCF31,OUT017,2081.377354000001
FDG14,OUT049,2973.735778
FDG28,OUT027,6630.429221999997
FDU14,OUT049,3938.599822000001
FDY47,OUT019,252.8109179999998
FDI56,OUT049,1428.2208960000007
DRD01,OUT013,549.111892
FDM22,OUT046,1048.4286019999995
FDH33,OUT013,693.5039380000002
DRZ24,OUT013,2181.8798640000005
NCQ38,OUT046,1647.9548700000005
FDO16,OUT027,2016.4818279999995
FDU07,OUT027,4031.9383239999984
NCB07,OUT013,2724.606733999998
FDU48,OUT045,1512.4512539999985
NCM43,OUT045,2494.572834000002
FDR31,OUT010,264.22272999999996
DRK49,OUT018,430.17338000000024
NCI30,OUT010,626.3047439999998
DRD60,OUT017,3351.024663999998
NCG19,OUT046,2957.6766819999984
FDH12,OUT035,1974.503138
FDM32,OUT035,1210.8971179999999
FDM27,OUT035,2692.002507999999
NCU53,OUT027,3980.5651960000027
NCQ18,OUT046,1999.077816
FDS10,OUT013,2666.36255
FDB33,OUT027,4475.740629999998
FDI12,OUT013,1352.9322319999992
NCW42,OUT013,4345.723205999999
NCC06,OUT018,2190.561896000001
FDW02,OUT017,2566.2595199999982
NCD43,OUT017,1942.917586000001
FDM57,OUT018,1032.8821719999996
FDA58,OUT017,3111.3899280000005
FDK56,OUT046,3195.3206759999985
FDP52,OUT045,4417.816030000001
FDW20,OUT018,2052.1021280000004
FDS52,OUT049,1248.747848000001
NCT29,OUT018,1559.3834960000002
NCL54,OUT013,3261.3480620000023
FDC05,OUT045,2763.023393999999
FDF34,OUT035,3022.372467999999
FDP03,OUT027,3078.0932700000017
FDD32,OUT010,188.075184
FDZ10,OUT045,1686.6644819999995
FDZ40,OUT035,969.6977519999997
FDD51,OUT018,453.8492279999998
NCY30,OUT019,388.1147939999999
FDP58,OUT017,3442.1527100000008
FDV49,OUT017,4358.486592000001
FDY24,OUT019,135.00426599999994
NCO55,OUT017,1765.7881540000003
FDR13,OUT017,1657.4624939999994
FDS51,OUT017,911.4602260000004
FDP26,OUT045,1361.2280999999996
NCB54,OUT027,4501.274059999999
FDF32,OUT017,3007.9246079999994
FDN31,OUT018,2483.260892
DRM48,OUT017,836.6975440000003
FDN20,OUT049,2852.593468000002
DRL01,OUT046,4885.154365999999
FDV56,OUT049,1345.9413320000003
DRH13,OUT027,2609.6297319999994
FDA03,OUT017,2567.717622000001
FDF47,OUT027,7005.960396000004
