Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1836.8685675152979
FDW14,OUT017,1670.3237921296854
NCN55,OUT010,1974.906903863363
FDQ58,OUT017,2589.6289549110506
FDY38,OUT027,4891.462772623339
FDH56,OUT046,1953.6498268400692
FDL48,OUT018,701.2769230470894
FDC48,OUT027,2739.5337923398565
FDN33,OUT045,1540.2596878438467
FDA36,OUT017,3046.1432615136364
FDT44,OUT017,2030.7339309626354
FDQ56,OUT045,1384.1948200902361
NCC54,OUT019,1871.7811455550655
FDU11,OUT049,1998.405072525402
DRL59,OUT013,1155.8871034508156
FDM24,OUT049,2443.1936777364117
FDI57,OUT045,3023.3950161776656
DRC12,OUT018,2675.6052846721595
NCM42,OUT027,3103.77681901747
FDA46,OUT010,1263.74825588672
FDA31,OUT013,2877.340127094896
NCJ31,OUT035,3562.188821603453
FDG52,OUT046,918.9227201493418
NCL19,OUT019,578.8164789665525
FDS10,OUT035,2853.780762368323
FDX22,OUT010,1626.3943031488016
NCF19,OUT035,938.6926679937551
NCE06,OUT046,2475.477695453026
DRC27,OUT046,3697.300606848008
FDE21,OUT035,1969.0990579045265
NCR42,OUT019,1007.2160937377764
FDX51,OUT018,2802.6882539760445
NCR06,OUT018,571.9466932894929
FDU31,OUT027,4719.27088707063
FDU59,OUT017,2682.2082567170582
FDR03,OUT027,4551.8953501950655
FDS49,OUT027,2688.3311998456556
FDD48,OUT010,232.26945254756401
NCF18,OUT017,3035.947462351658
NCD43,OUT027,3023.2753527919012
NCD54,OUT018,1986.3152954270668
FDY19,OUT010,274.66741990266564
NCY54,OUT017,2718.3819389648725
NCL19,OUT018,2014.8168752331699
FDP23,OUT010,1700.5273843475989
FDC26,OUT013,1963.2071966901435
FDR14,OUT010,731.9220868264058
NCS41,OUT035,2844.571336812194
FDF41,OUT035,3742.8140271505044
FDU34,OUT046,2004.4166088703419
DRH11,OUT046,1016.1216197751987
FDM03,OUT013,1903.9961154823413
FDS31,OUT017,2992.1231428020565
FDJ20,OUT017,2126.8351919637844
FDV44,OUT027,4298.769715741064
FDG02,OUT049,2976.70380457837
FDA09,OUT013,2939.572465350595
FDT04,OUT013,933.6416116268442
FDL58,OUT019,2288.5007795444144
FDE52,OUT045,1538.9034329401097
FDW12,OUT035,2381.311758957132
FDL51,OUT017,3471.360438642847
NCY42,OUT027,3559.9352580104023
FDR07,OUT017,1743.6989693972241
FDN40,OUT045,2332.3772729452203
FDB35,OUT027,2877.1943869638244
FDA22,OUT017,2696.572504317469
NCL06,OUT046,3920.074238858132
FDI35,OUT013,2996.088614235172
NCW42,OUT045,3295.765488502855
NCX06,OUT049,2820.338868645231
FDC37,OUT027,3113.1953872289423
FDZ14,OUT018,1759.6188114749998
DRG49,OUT049,3710.9327203591247
NCG06,OUT045,3803.907274024152
DRC36,OUT045,2668.163980631264
FDV21,OUT019,184.88109833759654
FDB53,OUT046,2297.053048372054
DRP47,OUT019,1997.3632290075998
FDA14,OUT013,2486.487264314016
DRC24,OUT035,2437.2841076957375
FDW21,OUT018,1463.3494707911077
NCH29,OUT046,1607.6720168768024
FDU58,OUT013,3144.8844496482443
FDY27,OUT017,2913.9080827533153
FDV56,OUT035,1905.5835417792687
FDT59,OUT046,3552.078392141215
FDB23,OUT046,3509.5082630885163
FDR49,OUT045,793.1293781465888
FDB03,OUT010,1960.7327762640184
FDN39,OUT045,2586.4664213741244
FDX02,OUT027,4738.474933228425
FDQ16,OUT027,3102.4745452366633
FDU35,OUT018,1377.6937160914317
NCT29,OUT013,2113.1701526865245
FDZ27,OUT046,971.0603314234977
FDN57,OUT017,2359.2696327427284
FDA03,OUT018,2091.414285647807
FDZ36,OUT045,2849.9347453928603
NCU05,OUT013,1537.1797858127238
FDT39,OUT018,2190.765633236587
FDK60,OUT017,1759.0854877215015
FDZ25,OUT017,2821.48684631996
FDG12,OUT046,2044.9975705161482
DRB01,OUT019,1201.9697601424787
NCC43,OUT027,5054.258558662641
FDX13,OUT019,2074.887084099911
FDM22,OUT049,1075.477702055331
FDJ03,OUT027,2301.107174276376
FDU14,OUT018,3533.993552133198
FDB33,OUT010,902.8075344862186
FDP27,OUT046,2919.0523491318963
FDO38,OUT010,340.87560081615175
FDE28,OUT027,4835.599231835248
FDO27,OUT035,1603.497492336192
DRL23,OUT027,3082.8637309729893
FDS28,OUT046,1060.2546720974387
FDX24,OUT013,1758.7103184108823
FDZ02,OUT035,1709.9370626676568
FDL46,OUT045,1850.7148790508295
FDS60,OUT027,4112.15830349127
NCO06,OUT017,774.3182009813622
FDO16,OUT035,1505.7435971210416
FDC60,OUT049,1511.1791878039662
FDA48,OUT018,3046.4417145405196
FDZ36,OUT027,4232.888384147745
FDK27,OUT045,1947.2049247202212
FDW23,OUT018,502.3793064663655
FDM14,OUT018,1557.1312870808915
FDM14,OUT013,1981.7801472427486
FDW60,OUT018,2547.532653703621
FDE21,OUT013,2107.386145428575
NCM42,OUT035,1815.461603411984
FDY59,OUT010,53.25002453281195
DRI49,OUT049,1318.5043231954464
FDT28,OUT019,681.636660302006
FDQ22,OUT018,549.5002065638791
FDR60,OUT049,1312.267973446355
FDC50,OUT019,201.13185355947394
FDV24,OUT013,2537.6005398168745
DRF48,OUT010,1255.3189032840578
FDQ47,OUT046,745.9110597567387
DRN36,OUT049,1632.9570001693614
NCY06,OUT035,2067.1013913447855
FDE52,OUT035,1619.5234441047573
NCB54,OUT045,1960.588772250314
NCF31,OUT035,2411.513296028981
FDJ08,OUT027,4231.113196123773
NCC07,OUT017,1862.3499988800118
NCD19,OUT027,2323.4080305432963
FDL46,OUT049,1963.0461533643352
FDM20,OUT045,3702.3731963465816
NCI06,OUT010,1120.740689280136
DRM11,OUT035,3915.785607316625
NCH07,OUT018,2156.3018860627835
FDS23,OUT013,2213.3204158571225
FDO49,OUT018,733.7356776815486
FDS35,OUT049,1180.7555287979571
DRK39,OUT045,1353.5736318273348
DRI39,OUT049,1065.288242799536
FDV04,OUT017,2580.4855767515355
NCN14,OUT035,2810.60953339098
FDH08,OUT013,3730.983238588021
FDS20,OUT046,2854.3103922880946
FDV40,OUT049,1372.69558639686
FDZ48,OUT010,134.44257421121165
FDS24,OUT027,2840.2731693187206
FDK44,OUT049,2717.1483085667815
FDS48,OUT045,2341.022801297013
FDK26,OUT010,1297.0054193442152
FDD23,OUT045,2902.2770739369125
NCH54,OUT017,2612.380668505146
NCP14,OUT010,6.379547284078399
FDM60,OUT010,805.0112465622128
FDV24,OUT017,2478.716492001862
FDH08,OUT018,3246.942102705737
FDS12,OUT027,3294.9493659916025
FDR39,OUT027,4120.8158226439355
FDP12,OUT027,2127.4240066328553
DRF60,OUT027,4886.490026172335
FDC09,OUT035,1809.1357993847196
FDF50,OUT018,2737.686180598246
FDG28,OUT035,3773.149838049477
NCE19,OUT017,1099.6285935217616
